lemma	inflected	label	hits
会う	会う	V;PRS;IPFV	55,900,000
会う	会わない	V;PRS;IPFV;NEG	11,200,000
会う	会わないです	V;PRS;IPFV;POL;NEG;COL	3,110,000
会う	会います	V;PRS;IPFV;POL;FOREG	4,840,000
会う	会いません	V;PRS;IPFV;POL;FOREG;NEG	2,670,000
会う	会うだろう	V;PRS;IPFV;PROSP	103,000
会う	会わないだろう	V;PRS;IPFV;PROSP;NEG	492,000
会う	会うでしょう	V;PRS;IPFV;PROSP;POL	176,000
会う	会わないでしょう	V;PRS;IPFV;PROSP;POL;NEG	410,000
会う	会った	V;PST;PFV	43,900,000
会う	会わなかった	V;PST;PFV;NEG	536,000
会う	会いました	V;PST;PFV;POL;FOREG	7,910,000
会う	会いませんでした	V;PST;PFV;POL;FOREG;NEG	1,570,000
会う	会っただろう	V;PST;PFV;PROSP	2,920
会う	会わなかっただろう	V;PST;PFV;PROSP;NEG	23,500
会う	会ったでしょう	V;PST;PFV;PROSP;POL	726,000
会う	会わなかったでしょう	V;PST;PFV;PROSP;POL;NEG	17,000
会う	会おう	V;INTEN	8,020,000
会う	会いましょう	V;INTEN;POL;FOREG	10,200,000
会う	会いたい	V;PRS;IPFV;OPT;1	31,800,000
会う	会いたくない	V;PRS;IPFV;OPT;NEG;1	3,340,000
会う	会いたいです	V;PRS;IPFV;OPT;POL;1	1,500,000
会う	会いたくないです	V;PRS;IPFV;OPT;POL;NEG;1	629,000
会う	会いたかった	V;PST;PFV;OPT;1	3,420,000
会う	会いたくなかった	V;PST;PFV;OPT;NEG;1	83,600
会う	会いたかったです	V;PST;PFV;OPT;POL;1	581,000
会う	会いたくなかったです	V;PST;PFV;OPT;POL;NEG;1	138,000
会う	会いたがる	V;PRS;IPFV;OPT;3	107,000
会う	会いたがらない	V;PRS;IPFV;OPT;NEG;3	27,200
会う	会いたがります	V;PRS;IPFV;OPT;POL;FOREG;3	7,580
会う	会いたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	11,800
会う	会いたがった	V;PST;PFV;OPT;3	8,650
会う	会いたがらなかった	V;PST;PFV;OPT;NEG;3	5,970
会う	会いたがりました	V;PST;PFV;OPT;POL;FOREG;3	695
会う	会いたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	5,440
会う	会え	V;IMP;OBLIG	60,300,000
会う	会いな	V;IMP;OBLIG;COL	17,500
会う	会いなさい	V;IMP;OBLIG;POL	107,000
会う	会って	V;IMP;COL	39,500,000
会う	会ってください	V;IMP;POL	23,400,000
会う	お会いください	V;FORM;IMP;POL	11,800
会う	会うな	V;IMP;OBLIG;NEG	310,000
会う	会わないで	V;IMP;NEG;COL	1,660,000
会う	会わないでください	V;IMP;POL;NEG	858,000
会う	お会いにならないでください	V;FORM;IMP;POL;NEG	3
会う	会える	V;PRS;IPFV;POT	40,700,000
会う	会えない	V;PRS;IPFV;POT;NEG	22,800,000
会う	会えます	V;PRS;IPFV;POT;POL;FOREG	2,260,000
会う	会えません	V;PRS;IPFV;POT;POL;FOREG;NEG	632,000
会う	会えた	V;PST;PFV;POT	11,700,000
会う	会えなかった	V;PST;PFV;POT;NEG	1,710,000
会う	会えました	V;PST;PFV;POT;POL;FOREG	5,540,000
会う	会えませんでした	V;PST;PFV;POT;POL;FOREG;NEG	1,200,000
会う	会われる	V;PRS;IPFV;PASS	35,400
会う	会われない	V;PRS;IPFV;PASS;NEG	48,300
会う	会われます	V;PRS;IPFV;PASS;POL;FOREG	30,400
会う	会われません	V;PRS;IPFV;PASS;POL;FOREG;NEG	9,160
会う	会われた	V;PST;PFV;PASS	107,000
会う	会われなかった	V;PST;PFV;PASS;NEG	7,990
会う	会われました	V;PST;PFV;PASS;POL;FOREG	158,000
会う	会われませんでした	V;PST;PFV;PASS;POL;FOREG;NEG	1,460
会う	会われる	V;PRS;IPFV;ELEV	35,400
会う	会われない	V;PRS;IPFV;ELEV;NEG	48,300
会う	会われます	V;PRS;IPFV;ELEV;POL;FOREG	30,400
会う	会われません	V;PRS;IPFV;ELEV;POL;FOREG;NEG	9,160
会う	会われた	V;PST;PFV;ELEV	107,000
会う	会われなかった	V;PST;PFV;ELEV;NEG	7,990
会う	会われました	V;PST;PFV;ELEV;POL;FOREG	158,000
