lemma	inflected	label	hits	lemma_hiragana	inflected_hiragana	lemma_roman	inflected_roman
会う	会う	V;PRS;IPFV	55900000	あう	あう	au	au
会う	会わない	V;PRS;IPFV;NEG	11200000	あう	あわない	au	awanai
会う	会わないです	V;PRS;IPFV;POL;NEG;COL	3110000	あう	あわないです	au	awanaidesu
会う	会います	V;PRS;IPFV;POL;FOREG	4840000	あう	あいます	au	aimasu
会う	会いません	V;PRS;IPFV;POL;FOREG;NEG	2670000	あう	あいません	au	aimasen
会う	会うだろう	V;PRS;IPFV;PROSP	103000	あう	あうだろう	au	audarou
会う	会わないだろう	V;PRS;IPFV;PROSP;NEG	492000	あう	あわないだろう	au	awanaidarou
会う	会うでしょう	V;PRS;IPFV;PROSP;POL	176000	あう	あうでしょう	au	audeshou
会う	会わないでしょう	V;PRS;IPFV;PROSP;POL;NEG	410000	あう	あわないでしょう	au	awanaideshou
会う	会った	V;PST;PFV	43900000	あう	あった	au	atta
会う	会わなかった	V;PST;PFV;NEG	536000	あう	あわなかった	au	awanakatta
会う	会わなかったです	V;PST;PFV;POL;NEG;COL	176000	あう	あわなかったです	au	awanakattadesu
会う	会いました	V;PST;PFV;POL;FOREG	7910000	あう	あいました	au	aimashita
会う	会いませんでした	V;PST;PFV;POL;FOREG;NEG	1570000	あう	あいませんでした	au	aimasendeshita
会う	会っただろう	V;PST;PFV;PROSP	2920	あう	あっただろう	au	attadarou
会う	会わなかっただろう	V;PST;PFV;PROSP;NEG	23500	あう	あわなかっただろう	au	awanakattadarou
会う	会ったでしょう	V;PST;PFV;PROSP;POL	726000	あう	あったでしょう	au	attadeshou
会う	会わなかったでしょう	V;PST;PFV;PROSP;POL;NEG	17000	あう	あわなかったでしょう	au	awanakattadeshou
会う	会おう	V;INTEN	8020000	あう	あおう	au	aou
会う	会いましょう	V;INTEN;POL;FOREG	10200000	あう	あいましょう	au	aimashou
会う	会いたい	V;PRS;IPFV;OPT;1	31800000	あう	あいたい	au	aitai
会う	会いたくない	V;PRS;IPFV;OPT;NEG;1	3340000	あう	あいたくない	au	aitakunai
会う	会いたいです	V;PRS;IPFV;OPT;POL;1	1500000	あう	あいたいです	au	aitaidesu
会う	会いたくないです	V;PRS;IPFV;OPT;POL;NEG;1	629000	あう	あいたくないです	au	aitakunaidesu
会う	会いたかった	V;PST;PFV;OPT;1	3420000	あう	あいたかった	au	aitakatta
会う	会いたくなかった	V;PST;PFV;OPT;NEG;1	83600	あう	あいたくなかった	au	aitakunakatta
会う	会いたかったです	V;PST;PFV;OPT;POL;1	581000	あう	あいたかったです	au	aitakattadesu
会う	会いたくなかったです	V;PST;PFV;OPT;POL;NEG;1	138000	あう	あいたくなかったです	au	aitakunakattadesu
会う	会いたがる	V;PRS;IPFV;OPT;3	107000	あう	あいたがる	au	aitagaru
会う	会いたがらない	V;PRS;IPFV;OPT;NEG;3	27200	あう	あいたがらない	au	aitagaranai
会う	会いたがります	V;PRS;IPFV;OPT;POL;FOREG;3	7580	あう	あいたがります	au	aitagarimasu
会う	会いたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	11800	あう	あいたがりません	au	aitagarimasen
会う	会いたがった	V;PST;PFV;OPT;3	8650	あう	あいたがった	au	aitagatta
会う	会いたがらなかった	V;PST;PFV;OPT;NEG;3	5970	あう	あいたがらなかった	au	aitagaranakatta
会う	会いたがりました	V;PST;PFV;OPT;POL;FOREG;3	695	あう	あいたがりました	au	aitagarimashita
会う	会いたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	5440	あう	あいたがりませんでした	au	aitagarimasendeshita
会う	会え	V;IMP;OBLIG	60300000	あう	あえ	au	ae
会う	会いな	V;IMP;OBLIG;COL	17500	あう	あいな	au	aina
会う	会いなさい	V;IMP;OBLIG;POL	107000	あう	あいなさい	au	ainasai
会う	会って	V;IMP;COL	39500000	あう	あって	au	atte
会う	会ってください	V;IMP;POL	23400000	あう	あってください	au	attekudasai
会う	お会いください	V;FORM;IMP;POL	11800	あう	おあいください	au	oaikudasai
会う	会うな	V;IMP;OBLIG;NEG	310000	あう	あうな	au	auna
会う	会わないで	V;IMP;NEG;COL	1660000	あう	あわないで	au	awanaide
会う	会わないでください	V;IMP;POL;NEG	858000	あう	あわないでください	au	awanaidekudasai
会う	お会いにならないでください	V;FORM;IMP;POL;NEG	3	あう	おあいにならないでください	au	oaininaranaidekudasai
会う	会える	V;PRS;IPFV;POT	40700000	あう	あえる	au	aeru
会う	会えない	V;PRS;IPFV;POT;NEG	22800000	あう	あえない	au	aenai
会う	会えます	V;PRS;IPFV;POT;POL;FOREG	2260000	あう	あえます	au	aemasu
会う	会えません	V;PRS;IPFV;POT;POL;FOREG;NEG	632000	あう	あえません	au	aemasen
会う	会えた	V;PST;PFV;POT	11700000	あう	あえた	au	aeta
会う	会えなかった	V;PST;PFV;POT;NEG	1710000	あう	あえなかった	au	aenakatta
会う	会えました	V;PST;PFV;POT;POL;FOREG	5540000	あう	あえました	au	aemashita
会う	会えませんでした	V;PST;PFV;POT;POL;FOREG;NEG	1200000	あう	あえませんでした	au	aemasendeshita
会う	会われる	V;PRS;IPFV;PASS	35400	あう	あわれる	au	awareru
会う	会われない	V;PRS;IPFV;PASS;NEG	48300	あう	あわれない	au	awarenai
会う	会われます	V;PRS;IPFV;PASS;POL;FOREG	30400	あう	あわれます	au	awaremasu
会う	会われません	V;PRS;IPFV;PASS;POL;FOREG;NEG	9160	あう	あわれません	au	awaremasen
会う	会われた	V;PST;PFV;PASS	107000	あう	あわれた	au	awareta
会う	会われなかった	V;PST;PFV;PASS;NEG	7990	あう	あわれなかった	au	awarenakatta
会う	会われました	V;PST;PFV;PASS;POL;FOREG	158000	あう	あわれました	au	awaremashita
会う	会われませんでした	V;PST;PFV;PASS;POL;FOREG;NEG	1460	あう	あわれませんでした	au	awaremasendeshita
会う	会われる	V;PRS;IPFV;ELEV	35400	あう	あわれる	au	awareru
会う	会われない	V;PRS;IPFV;ELEV;NEG	48300	あう	あわれない	au	awarenai
会う	会われます	V;PRS;IPFV;ELEV;POL;FOREG	30400	あう	あわれます	au	awaremasu
会う	会われません	V;PRS;IPFV;ELEV;POL;FOREG;NEG	9160	あう	あわれません	au	awaremasen
会う	会われた	V;PST;PFV;ELEV	107000	あう	あわれた	au	awareta
会う	会われなかった	V;PST;PFV;ELEV;NEG	7990	あう	あわれなかった	au	awarenakatta
会う	会われました	V;PST;PFV;ELEV;POL;FOREG	158000	あう	あわれました	au	awaremashita
会う	会われませんでした	V;PST;PFV;ELEV;POL;FOREG;NEG	1460	あう	あわれませんでした	au	awaremasendeshita
会う	会わせる	V;PRS;IPFV;CAUS	576000	あう	あわせる	au	awaseru
会う	会わせない	V;PRS;IPFV;CAUS;NEG	166000	あう	あわせない	au	awasenai
会う	会わせます	V;PRS;IPFV;CAUS;POL;FOREG	178000	あう	あわせます	au	awasemasu
会う	会わせません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	11600	あう	あわせません	au	awasemasen
会う	会わせた	V;PST;PFV;CAUS	413000	あう	あわせた	au	awaseta
会う	会わせなかった	V;PST;PFV;CAUS;NEG	52200	あう	あわせなかった	au	awasenakatta
会う	会わせました	V;PST;PFV;CAUS;POL;FOREG	23700	あう	あわせました	au	awasemashita
会う	会わせませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	19000	あう	あわせませんでした	au	awasemasendeshita
会う	会わす	V;PRS;IPFV;CAUS	69700	あう	あわす	au	awasu
会う	会わさない	V;PRS;IPFV;CAUS;NEG	5660	あう	あわさない	au	awasanai
会う	会わします	V;PRS;IPFV;CAUS;POL;FOREG	1330	あう	あわします	au	awashimasu
会う	会わしません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	1540	あう	あわしません	au	awashimasen
会う	会わした	V;PST;PFV;CAUS	11600	あう	あわした	au	awashita
会う	会わさなかった	V;PST;PFV;CAUS;NEG	464	あう	あわさなかった	au	awasanakatta
会う	会わしました	V;PST;PFV;CAUS;POL;FOREG	3670	あう	あわしました	au	awashimashita
会う	会わしませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	10	あう	あわしませんでした	au	awashimasendeshita
会う	会わせられる	V;PRS;IPFV;CAUS;PASS	103000	あう	あわせられる	au	awaserareru
会う	会わせられない	V;PRS;IPFV;CAUS;PASS;NEG	221000	あう	あわせられない	au	awaserarenai
会う	会わせられます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	11100	あう	あわせられます	au	awaseraremasu
会う	会わせられません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	34500	あう	あわせられません	au	awaseraremasen
会う	会わせられた	V;PST;PFV;CAUS;PASS	106000	あう	あわせられた	au	awaserareta
会う	会わせられなかった	V;PST;PFV;CAUS;PASS;NEG	21000	あう	あわせられなかった	au	awaserarenakatta
会う	会わせられました	V;PST;PFV;CAUS;PASS;POL;FOREG	4030	あう	あわせられました	au	awaseraremashita
会う	会わせられませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	2390	あう	あわせられませんでした	au	awaseraremasendeshita
会う	会わされる	V;PRS;IPFV;CAUS;PASS	54600	あう	あわされる	au	awasareru
会う	会わされない	V;PRS;IPFV;CAUS;PASS;NEG	386	あう	あわされない	au	awasarenai
会う	会わされます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	19500	あう	あわされます	au	awasaremasu
会う	会わされません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	5	あう	あわされません	au	awasaremasen
会う	会わされた	V;PST;PFV;CAUS;PASS	58400	あう	あわされた	au	awasareta
会う	会わされなかった	V;PST;PFV;CAUS;PASS;NEG	5	あう	あわされなかった	au	awasarenakatta
会う	会わされました	V;PST;PFV;CAUS;PASS;POL;FOREG	19400	あう	あわされました	au	awasaremashita
会う	会わされませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0	あう	あわされませんでした	au	awasaremasendeshita
会う	お会いになる	V;FORM;ELEV;PRS;IPFV	809000	あう	おあいになる	au	oaininaru
会う	お会いにならない	V;FORM;ELEV;PRS;IPFV;NEG	134000	あう	おあいにならない	au	oaininaranai
